stratum,year,popEst,sePopEst,VCF,seVCF
1,1975,1606,1372,2.43,0.46
2,1975,365,346,2.43,0.46
3,1975,9427,8145,2.43,0.46
4,1975,20363,11540,2.43,0.46
5,1975,0,0,2.43,0.46
6,1975,0,0,2.43,0.46
8,1975,0,0,2.43,0.46
9,1975,498,476,2.43,0.46
10,1975,0,0,2.43,0.46
11,1975,2169,1656,2.43,0.46
12,1975,4255,4024,2.59,0.46
13,1975,1421,846,2.59,0.46
14,1975,2173,2172,2.59,0.46
15,1975,0,0,2.59,0.46
16,1975,0,0,2.59,0.46
17,1975,13255,12049,2.59,0.46
18,1975,2253,2342,2.59,0.46
20,1975,7355,3857,2.59,0.46
21,1975,0,0,2.59,0.46
22,1975,2526,1322,2.59,0.46
23,1975,6996,6802,2.59,0.46
24,1975,6612,4029,2.59,0.46
25,1975,13349,3937,2.59,0.46
26,1975,69502,17072,0.82,0.19
27,1975,6043,1961,0.82,0.19
28,1975,1102,890,0.82,0.19
29,1975,2298,1355,0.82,0.19
30,1975,48832,16108,1.5,0.3
31,1975,64898,16332,1.5,0.3
32,1975,64877,14529,1.5,0.3
33,1975,1891,1103,1.5,0.3
34,1975,48691,7868,2.22,0.33
35,1975,23695,4561,2.22,0.33
36,1975,4999,2346,2.22,0.33
37,1975,29666,6289,2.22,0.33
38,1975,928,702,2.22,0.33
39,1975,15173,4844,2.22,0.33
40,1975,26799,7405,2.22,0.33
41,1975,2112,1991,2.02,0.7
42,1975,0,0,2.02,0.7
43,1975,0,0,2.02,0.7
44,1975,0,0,2.02,0.7
45,1975,33367,6962,2.07,0.32
46,1975,5919,1484,2.07,0.32
47,1975,0,0,2.07,0.32
48,1975,2363,2008,2.07,0.32
49,1975,3236,3345,2.07,0.32
75,1975,32235.07,25328.64,2.59,0.46
76,1975,0,0,2.59,0.46
77,1975,5577.03,5231.24,2.59,0.46
1,1976,0,0,2.43,0.46
2,1976,0,0,2.43,0.46
3,1976,8399,4634,2.43,0.46
4,1976,39413,13692,2.43,0.46
5,1976,0,0,2.43,0.46
6,1976,0,0,2.43,0.46
8,1976,0,0,2.43,0.46
9,1976,0,0,2.43,0.46
10,1976,0,0,2.43,0.46
11,1976,0,0,2.43,0.46
12,1976,0,0,2.59,0.46
13,1976,2132,1391,2.59,0.46
14,1976,1127,1193,2.59,0.46
15,1976,9689,7354,2.59,0.46
16,1976,0,0,2.59,0.46
17,1976,9037,2845,2.59,0.46
18,1976,0,0,2.59,0.46
20,1976,15645,6637,2.59,0.46
21,1976,3275,2190,2.59,0.46
22,1976,12628,4328,2.59,0.46
23,1976,1230,1320,2.59,0.46
24,1976,5735,5019,2.59,0.46
25,1976,16611,4850,2.59,0.46
26,1976,44772,8363,1.64,0.25
27,1976,3339,1417,1.64,0.25
28,1976,2193,885,1.64,0.25
29,1976,1777,541,1.64,0.25
30,1976,64265,21448,1.81,0.36
31,1976,64616,28762,1.81,0.36
32,1976,78939,21071,1.81,0.36
33,1976,5471,4531,1.81,0.36
34,1976,51661,25203,2.97,1.07
35,1976,18325,7490,2.97,1.07
36,1976,7815,7360,2.97,1.07
37,1976,48001,29199,2.97,1.07
38,1976,0,0,2.97,1.07
39,1976,19851,7808,2.97,1.07
40,1976,35111,15585,2.97,1.07
41,1976,13066,7710,2.02,0.7
42,1976,3165,1986,2.02,0.7
43,1976,5484,4208,2.02,0.7
44,1976,2555,2479,2.02,0.7
45,1976,5845,2494,1.79,0.31
46,1976,3973,1454,1.79,0.31
47,1976,0,0,1.79,0.31
48,1976,560,377,1.79,0.31
49,1976,0,0,1.79,0.31
75,1976,2479.62,1948.35,2.59,0.46
76,1976,0,0,2.59,0.46
77,1976,0,0,2.59,0.46
1,1977,8029,8769,2.43,0.46
2,1977,0,0,2.43,0.46
3,1977,35034,19221,2.43,0.46
4,1977,96890,39405,2.43,0.46
5,1977,4888,2087,2.43,0.46
6,1977,1372,671,2.43,0.46
8,1977,2094,2011,2.43,0.46
9,1977,7965,7225,2.43,0.46
10,1977,3122,965,2.43,0.46
11,1977,3254,2275,2.43,0.46
12,1977,5248,2661,2.59,0.46
13,1977,4975,3015,2.59,0.46
14,1977,7323,6227,2.59,0.46
15,1977,0,0,2.59,0.46
16,1977,3172,3887,2.59,0.46
17,1977,3615,3610,2.59,0.46
18,1977,4506,4684,2.59,0.46
20,1977,9762,2493,2.59,0.46
21,1977,672,662,2.59,0.46
22,1977,16100,7554,2.59,0.46
23,1977,0,0,2.59,0.46
24,1977,12067,12740,2.59,0.46
25,1977,16158,5964,2.59,0.46
26,1977,55472,13664,1.58,0.24
27,1977,1027,548,1.58,0.24
28,1977,3012,1170,1.58,0.24
29,1977,5128,2288,1.58,0.24
30,1977,87268,26534,2.3,0.39
31,1977,62643,31102,2.3,0.39
32,1977,61639,13784,2.3,0.39
33,1977,3479,2075,2.3,0.39
34,1977,28372,8482,2.39,0.4
35,1977,13060,5365,2.39,0.4
36,1977,0,0,2.39,0.4
37,1977,30241,11186,2.39,0.4
38,1977,0,0,2.39,0.4
39,1977,8133,4566,2.39,0.4
40,1977,19788,9132,2.39,0.4
41,1977,3168,1877,2.02,0.7
42,1977,0,0,2.02,0.7
43,1977,1828,1869,2.02,0.7
44,1977,2044,1352,2.02,0.7
45,1977,6937,2874,1.8,0.33
46,1977,1517,777,1.8,0.33
47,1977,0,0,1.8,0.33
48,1977,281,280,1.8,0.33
49,1977,666,550,1.8,0.33
75,1977,1239.81,974.17,2.59,0.46
76,1977,0,0,2.59,0.46
77,1977,14723.37,8494.79,2.59,0.46
1,1978,1338,1461,2.43,0.46
2,1978,0,0,2.43,0.46
3,1978,9599,7671,2.43,0.46
4,1978,32187,16553,2.43,0.46
5,1978,0,0,2.43,0.46
6,1978,0,0,2.43,0.46
8,1978,0,0,2.43,0.46
9,1978,1493,1428,2.43,0.46
10,1978,2342,2434,2.43,0.46
11,1978,542,531,2.43,0.46
